,Year_of_award,Nominees,Laureate,Birth_year,Death_year,Affiliation,Rationale,Country_of_birth,Officialstatename,InternetccTLD,iso2,iso3
109,1985,,Herbert A. Hauptman,1917,2011,Medical Foundation of Buffalo,"""for their outstanding achievements in developing direct methods for the determination of crystal structures""",UNITED STATES MINOR OUTLYING ISLANDS (THE),"Baker¬†Island, Howland¬†Island, Jarvis¬†Island, Johnston¬†Atoll, Kingman¬†Reef, Midway¬†Atoll, Navassa¬†Island, Palmyra¬†Atoll, and Wake¬†Island",,UM,UMI
110,1985,,Jerome Karle,1918,2013,United States Naval Research Laboratory,"""for their outstanding achievements in developing direct methods for the determination of crystal structures""",UNITED STATES MINOR OUTLYING ISLANDS (THE),"Baker¬†Island, Howland¬†Island, Jarvis¬†Island, Johnston¬†Atoll, Kingman¬†Reef, Midway¬†Atoll, Navassa¬†Island, Palmyra¬†Atoll, and Wake¬†Island",,UM,UMI
111,1986,,Dudley R. Herschbach,1932,,Harvard University,"""for their contributions concerning the dynamics of chemical elementary processes""",UNITED STATES MINOR OUTLYING ISLANDS (THE),"Baker¬†Island, Howland¬†Island, Jarvis¬†Island, Johnston¬†Atoll, Kingman¬†Reef, Midway¬†Atoll, Navassa¬†Island, Palmyra¬†Atoll, and Wake¬†Island",,UM,UMI
112,1986,,Yuan T. Lee,1936,,"University of California, Berkeley","""for their contributions concerning the dynamics of chemical elementary processes""",UNITED STATES MINOR OUTLYING ISLANDS (THE),"Baker¬†Island, Howland¬†Island, Jarvis¬†Island, Johnston¬†Atoll, Kingman¬†Reef, Midway¬†Atoll, Navassa¬†Island, Palmyra¬†Atoll, and Wake¬†Island",,UM,UMI
113,1986,,John C. Polanyi,1929,,University of Toronto,"""for their contributions concerning the dynamics of chemical elementary processes""",Canada,,,,
114,1987,,Donald J. Cram,1919,2001,"University of California, Los Angeles","""for their development and use of molecules with structure-specific interactions of high selectivity""",UNITED STATES MINOR OUTLYING ISLANDS (THE),"Baker¬†Island, Howland¬†Island, Jarvis¬†Island, Johnston¬†Atoll, Kingman¬†Reef, Midway¬†Atoll, Navassa¬†Island, Palmyra¬†Atoll, and Wake¬†Island",,UM,UMI
115,1987,,Jean-Marie Lehn,1939,,"Collège de France,Louis Pasteur University","""for their development and use of molecules with structure-specific interactions of high selectivity""",France,,,,
116,1987,,Charles J. Pedersen,1904,1989,DuPont,"""for their development and use of molecules with structure-specific interactions of high selectivity""",UNITED STATES MINOR OUTLYING ISLANDS (THE),"Baker¬†Island, Howland¬†Island, Jarvis¬†Island, Johnston¬†Atoll, Kingman¬†Reef, Midway¬†Atoll, Navassa¬†Island, Palmyra¬†Atoll, and Wake¬†Island",,UM,UMI
117,1988,,Johann Deisenhofer,1943,,"Howard Hughes Medical Institute,University of Texas Southwestern Medical Center","""for their determination of the three-dimensional structure of a photosynthetic reaction centre""",GERMANY,The Federal Republic of Germany,.de,DE,DEU
118,1988,,Robert Huber,1937,,Max Planck Institute of Biochemistry,"""for their determination of the three-dimensional structure of a photosynthetic reaction centre""",GERMANY,The Federal Republic of Germany,.de,DE,DEU
119,1988,,Hartmut Michel,1948,,Max Planck Institute of Biophysics,"""for their determination of the three-dimensional structure of a photosynthetic reaction centre""",GERMANY,The Federal Republic of Germany,.de,DE,DEU
120,1989,,Sidney Altman,1939,2022,Yale University,"""for their discovery of catalytic properties of RNA""",Canada,,,,
121,1989,,Thomas Cech,1947,,University of Colorado Boulder,"""for their discovery of catalytic properties of RNA""",UNITED STATES MINOR OUTLYING ISLANDS (THE),"Baker¬†Island, Howland¬†Island, Jarvis¬†Island, Johnston¬†Atoll, Kingman¬†Reef, Midway¬†Atoll, Navassa¬†Island, Palmyra¬†Atoll, and Wake¬†Island",,UM,UMI
122,1990,,Elias James Corey,1928,,Harvard University,"""for his development of the theory and methodology of organic synthesis""",UNITED STATES MINOR OUTLYING ISLANDS (THE),"Baker¬†Island, Howland¬†Island, Jarvis¬†Island, Johnston¬†Atoll, Kingman¬†Reef, Midway¬†Atoll, Navassa¬†Island, Palmyra¬†Atoll, and Wake¬†Island",,UM,UMI
123,1991,,Richard R. Ernst,1933,2021,ETH Zurich,"""for his contributions to the development of the methodology of high resolution nuclear magnetic resonance (NMR) spectroscopy""",Switzerland,,,,
124,1992,,Rudolph A. Marcus,1923,,California Institute of Technology,"""for his contributions to the theory of electron transfer reactions in chemical systems""",UNITED STATES MINOR OUTLYING ISLANDS (THE),"Baker¬†Island, Howland¬†Island, Jarvis¬†Island, Johnston¬†Atoll, Kingman¬†Reef, Midway¬†Atoll, Navassa¬†Island, Palmyra¬†Atoll, and Wake¬†Island",,UM,UMI
125,1993,,Kary B. Mullis,1944,2019,,"""for contributions to the developments of methods within DNA-based chemistry [...] for his invention of the polymerase chain reaction (PCR) method""",UNITED STATES MINOR OUTLYING ISLANDS (THE),"Baker¬†Island, Howland¬†Island, Jarvis¬†Island, Johnston¬†Atoll, Kingman¬†Reef, Midway¬†Atoll, Navassa¬†Island, Palmyra¬†Atoll, and Wake¬†Island",,UM,UMI
126,1993,,Michael Smith,1932,2000,University of British Columbia,"""for contributions to the developments of methods within DNA-based chemistry [...] for his fundamental contributions to the establishment of oligonucleotide-based, site-directed mutagenesis and its development for protein studies""",Canada,,,,
127,1994,,George A. Olah,1927,2017,University of Southern California,"""for his contribution to carbocation chemistry""",UNITED STATES MINOR OUTLYING ISLANDS (THE),"Baker¬†Island, Howland¬†Island, Jarvis¬†Island, Johnston¬†Atoll, Kingman¬†Reef, Midway¬†Atoll, Navassa¬†Island, Palmyra¬†Atoll, and Wake¬†Island",,UM,UMI
128,1995,,Paul J. Crutzen,1933,2021,Max Planck Institute for Chemistry,"""for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone""",Netherlands,,,,
129,1995,,Mario J. Molina,1943,2020,Massachusetts Institute of Technology,"""for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone""",Mexico,,,,
130,1995,,Frank Sherwood Rowland,1927,2012,"University of California, Irvine","""for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone""",UNITED STATES MINOR OUTLYING ISLANDS (THE),"Baker¬†Island, Howland¬†Island, Jarvis¬†Island, Johnston¬†Atoll, Kingman¬†Reef, Midway¬†Atoll, Navassa¬†Island, Palmyra¬†Atoll, and Wake¬†Island",,UM,UMI
131,1996,,Robert F. Curl Jr.,1933,2022,Rice University,"""for their discovery of fullerenes""",UNITED STATES MINOR OUTLYING ISLANDS (THE),"Baker¬†Island, Howland¬†Island, Jarvis¬†Island, Johnston¬†Atoll, Kingman¬†Reef, Midway¬†Atoll, Navassa¬†Island, Palmyra¬†Atoll, and Wake¬†Island",,UM,UMI
132,1996,,Sir Harold W. Kroto,1939,2016,University of Sussex,"""for their discovery of fullerenes""",UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (THE),The United Kingdom of Great Britain and Northern Ireland,.uk,GB,GBR
133,1996,,Richard E. Smalley,1943,2005,Rice University,"""for their discovery of fullerenes""",UNITED STATES MINOR OUTLYING ISLANDS (THE),"Baker¬†Island, Howland¬†Island, Jarvis¬†Island, Johnston¬†Atoll, Kingman¬†Reef, Midway¬†Atoll, Navassa¬†Island, Palmyra¬†Atoll, and Wake¬†Island",,UM,UMI
134,1997,,Paul D. Boyer,1918,2018,"University of California, Los Angeles","""for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP)""",UNITED STATES MINOR OUTLYING ISLANDS (THE),"Baker¬†Island, Howland¬†Island, Jarvis¬†Island, Johnston¬†Atoll, Kingman¬†Reef, Midway¬†Atoll, Navassa¬†Island, Palmyra¬†Atoll, and Wake¬†Island",,UM,UMI
135,1997,,John E. Walker,1941,,MRC Laboratory of Molecular Biology,"""for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP)""",UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (THE),The United Kingdom of Great Britain and Northern Ireland,.uk,GB,GBR
136,1997,,Jens C. Skou,1918,2018,Aarhus University,"""for the first discovery of an ion-transporting enzyme, Na+, K+ -ATPase""",Denmark,,,,
137,1998,,Walter Kohn,1923,2016,"University of California, Santa Barbara","""for his development of the density-functional theory""",UNITED STATES MINOR OUTLYING ISLANDS (THE),"Baker¬†Island, Howland¬†Island, Jarvis¬†Island, Johnston¬†Atoll, Kingman¬†Reef, Midway¬†Atoll, Navassa¬†Island, Palmyra¬†Atoll, and Wake¬†Island",,UM,UMI
138,1998,,John A. Pople,1925,2004,Northwestern University,"""for his development of computational methods in quantum chemistry""",UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (THE),The United Kingdom of Great Britain and Northern Ireland,.uk,GB,GBR
139,1999,,Ahmed Zewail,1946,2016,California Institute of Technology,"""for his studies of the transition states of chemical reactions using femtosecond spectroscopy""",UNITED STATES MINOR OUTLYING ISLANDS (THE),"Baker¬†Island, Howland¬†Island, Jarvis¬†Island, Johnston¬†Atoll, Kingman¬†Reef, Midway¬†Atoll, Navassa¬†Island, Palmyra¬†Atoll, and Wake¬†Island",,UM,UMI
140,2000,,Alan J. Heeger,1936,,"University of California, Santa Barbara","""for their discovery and development of conductive polymers""",UNITED STATES MINOR OUTLYING ISLANDS (THE),"Baker¬†Island, Howland¬†Island, Jarvis¬†Island, Johnston¬†Atoll, Kingman¬†Reef, Midway¬†Atoll, Navassa¬†Island, Palmyra¬†Atoll, and Wake¬†Island",,UM,UMI
141,2000,,Alan G. MacDiarmid,1927,2007,University of Pennsylvania,"""for their discovery and development of conductive polymers""",UNITED STATES MINOR OUTLYING ISLANDS (THE),"Baker¬†Island, Howland¬†Island, Jarvis¬†Island, Johnston¬†Atoll, Kingman¬†Reef, Midway¬†Atoll, Navassa¬†Island, Palmyra¬†Atoll, and Wake¬†Island",,UM,UMI
142,2000,,Hideki Shirakawa,1936,,University of Tsukuba,"""for their discovery and development of conductive polymers""",Japan,,,,
143,2001,,William S. Knowles,1917,2012,,"""for their work on chirally catalysed hydrogenation reactions""",UNITED STATES MINOR OUTLYING ISLANDS (THE),"Baker¬†Island, Howland¬†Island, Jarvis¬†Island, Johnston¬†Atoll, Kingman¬†Reef, Midway¬†Atoll, Navassa¬†Island, Palmyra¬†Atoll, and Wake¬†Island",,UM,UMI
144,2001,,Ryōji Noyori,1938,,Nagoya University,"""for their work on chirally catalysed hydrogenation reactions""",Japan,,,,
145,2001,,K. Barry Sharpless,1941,,Scripps Research,"""for his work on chirally catalysed oxidation reactions""",UNITED STATES MINOR OUTLYING ISLANDS (THE),"Baker¬†Island, Howland¬†Island, Jarvis¬†Island, Johnston¬†Atoll, Kingman¬†Reef, Midway¬†Atoll, Navassa¬†Island, Palmyra¬†Atoll, and Wake¬†Island",,UM,UMI
146,2002,,John B. Fenn,1917,2010,Virginia Commonwealth University,"""for the development of methods for identification and structure analyses of biological macromolecules [...] for their development of soft desorption ionisation methods for mass spectrometric analyses of biological macromolecules""",UNITED STATES MINOR OUTLYING ISLANDS (THE),"Baker¬†Island, Howland¬†Island, Jarvis¬†Island, Johnston¬†Atoll, Kingman¬†Reef, Midway¬†Atoll, Navassa¬†Island, Palmyra¬†Atoll, and Wake¬†Island",,UM,UMI
147,2002,,Koichi Tanaka,1959,,Shimadzu,"""for the development of methods for identification and structure analyses of biological macromolecules [...] for their development of soft desorption ionisation methods for mass spectrometric analyses of biological macromolecules""",Japan,,,,
148,2002,,Kurt Wüthrich,1938,,"ETH Zurich,Scripps Research","""for the development of methods for identification and structure analyses of biological macromolecules [...] for his development of nuclear magnetic resonance spectroscopy for determining the three-dimensional structure of biological macromolecules in solution""",Switzerland,,,,
149,2003,,Peter Agre,1949,,Johns Hopkins School of Medicine,"""for discoveries concerning channels in cell membranes [...] for the discovery of water channels""",UNITED STATES MINOR OUTLYING ISLANDS (THE),"Baker¬†Island, Howland¬†Island, Jarvis¬†Island, Johnston¬†Atoll, Kingman¬†Reef, Midway¬†Atoll, Navassa¬†Island, Palmyra¬†Atoll, and Wake¬†Island",,UM,UMI
150,2003,,Roderick MacKinnon,1956,,"Howard Hughes Medical Institute,Rockefeller University","""for discoveries concerning channels in cell membranes [...] for structural and mechanistic studies of ion channels""",UNITED STATES MINOR OUTLYING ISLANDS (THE),"Baker¬†Island, Howland¬†Island, Jarvis¬†Island, Johnston¬†Atoll, Kingman¬†Reef, Midway¬†Atoll, Navassa¬†Island, Palmyra¬†Atoll, and Wake¬†Island",,UM,UMI
151,2004,,Aaron Ciechanover,1947,,Technion – Israel Institute of Technology,"""for the discovery of ubiquitin-mediated protein degradation""",ISRAEL,,,,
152,2004,,Avram Hershko,1937,,Technion – Israel Institute of Technology,"""for the discovery of ubiquitin-mediated protein degradation""",ISRAEL,,,,
153,2004,,Irwin Rose,1926,2015,"University of California, Irvine","""for the discovery of ubiquitin-mediated protein degradation""",UNITED STATES MINOR OUTLYING ISLANDS (THE),"Baker¬†Island, Howland¬†Island, Jarvis¬†Island, Johnston¬†Atoll, Kingman¬†Reef, Midway¬†Atoll, Navassa¬†Island, Palmyra¬†Atoll, and Wake¬†Island",,UM,UMI
154,2005,,Yves Chauvin,1930,2015,French Institute of Petroleum,"""for the development of the metathesis method in organic synthesis""",France,,,,
155,2005,,Robert H. Grubbs,1942,2021,California Institute of Technology,"""for the development of the metathesis method in organic synthesis""",UNITED STATES MINOR OUTLYING ISLANDS (THE),"Baker¬†Island, Howland¬†Island, Jarvis¬†Island, Johnston¬†Atoll, Kingman¬†Reef, Midway¬†Atoll, Navassa¬†Island, Palmyra¬†Atoll, and Wake¬†Island",,UM,UMI
156,2005,,Richard R. Schrock,1945,,Massachusetts Institute of Technology,"""for the development of the metathesis method in organic synthesis""",UNITED STATES MINOR OUTLYING ISLANDS (THE),"Baker¬†Island, Howland¬†Island, Jarvis¬†Island, Johnston¬†Atoll, Kingman¬†Reef, Midway¬†Atoll, Navassa¬†Island, Palmyra¬†Atoll, and Wake¬†Island",,UM,UMI
157,2006,,Roger D. Kornberg,1947,,Stanford University,"""for his studies of the molecular basis of eukaryotic transcription""",UNITED STATES MINOR OUTLYING ISLANDS (THE),"Baker¬†Island, Howland¬†Island, Jarvis¬†Island, Johnston¬†Atoll, Kingman¬†Reef, Midway¬†Atoll, Navassa¬†Island, Palmyra¬†Atoll, and Wake¬†Island",,UM,UMI
158,2007,,Gerhard Ertl,1936,,Fritz Haber Institute of the Max Planck Society,"""for his studies of chemical processes on solid surfaces""",Germany,,,,
159,2008,,Osamu Shimomura,1928,2018,"Boston University School of Medicine,Marine Biological Laboratory","""for the discovery and development of the green fluorescent protein, GFP""",Japan,,,,
160,2008,,Martin Chalfie,1947,,Columbia University,"""for the discovery and development of the green fluorescent protein, GFP""",UNITED STATES MINOR OUTLYING ISLANDS (THE),"Baker¬†Island, Howland¬†Island, Jarvis¬†Island, Johnston¬†Atoll, Kingman¬†Reef, Midway¬†Atoll, Navassa¬†Island, Palmyra¬†Atoll, and Wake¬†Island",,UM,UMI
161,2008,,Roger Y. Tsien,1952,2016,"Howard Hughes Medical Institute,University of California, San Diego","""for the discovery and development of the green fluorescent protein, GFP""",UNITED STATES MINOR OUTLYING ISLANDS (THE),"Baker¬†Island, Howland¬†Island, Jarvis¬†Island, Johnston¬†Atoll, Kingman¬†Reef, Midway¬†Atoll, Navassa¬†Island, Palmyra¬†Atoll, and Wake¬†Island",,UM,UMI
162,2009,,Venkatraman Ramakrishnan,1952,,MRC Laboratory of Molecular Biology,"""for studies of the structure and function of the ribosome""",UNITED STATES MINOR OUTLYING ISLANDS (THE),"Baker¬†Island, Howland¬†Island, Jarvis¬†Island, Johnston¬†Atoll, Kingman¬†Reef, Midway¬†Atoll, Navassa¬†Island, Palmyra¬†Atoll, and Wake¬†Island",,UM,UMI
163,2009,,Thomas A. Steitz,1940,2018,"Howard Hughes Medical Institute,Yale University","""for studies of the structure and function of the ribosome""",UNITED STATES MINOR OUTLYING ISLANDS (THE),"Baker¬†Island, Howland¬†Island, Jarvis¬†Island, Johnston¬†Atoll, Kingman¬†Reef, Midway¬†Atoll, Navassa¬†Island, Palmyra¬†Atoll, and Wake¬†Island",,UM,UMI
164,2009,,Ada E. Yonath,1939,,Weizmann Institute of Science,"""for studies of the structure and function of the ribosome""",ISRAEL,,,,
165,2010,,Richard F. Heck,1931,2015,University of Delaware,"""for palladium-catalyzed cross couplings in organic synthesis""",UNITED STATES MINOR OUTLYING ISLANDS (THE),"Baker¬†Island, Howland¬†Island, Jarvis¬†Island, Johnston¬†Atoll, Kingman¬†Reef, Midway¬†Atoll, Navassa¬†Island, Palmyra¬†Atoll, and Wake¬†Island",,UM,UMI
166,2010,,Ei-ichi Negishi,1935,2021,Purdue University,"""for palladium-catalyzed cross couplings in organic synthesis""",Japan,,,,
167,2010,,Akira Suzuki,1930,,Hokkaido University,"""for palladium-catalyzed cross couplings in organic synthesis""",Japan,,,,
168,2011,,Dan Shechtman,1941,,Technion – Israel Institute of Technology,"""for the discovery of quasicrystals""",ISRAEL,,,,
169,2012,,Robert Lefkowitz,1943,,"Duke University Medical Center,Howard Hughes Medical Institute","""for studies of G-protein-coupled receptors""",UNITED STATES MINOR OUTLYING ISLANDS (THE),"Baker¬†Island, Howland¬†Island, Jarvis¬†Island, Johnston¬†Atoll, Kingman¬†Reef, Midway¬†Atoll, Navassa¬†Island, Palmyra¬†Atoll, and Wake¬†Island",,UM,UMI
170,2012,,Brian Kobilka,1955,,Stanford University School of Medicine,"""for studies of G-protein-coupled receptors""",UNITED STATES MINOR OUTLYING ISLANDS (THE),"Baker¬†Island, Howland¬†Island, Jarvis¬†Island, Johnston¬†Atoll, Kingman¬†Reef, Midway¬†Atoll, Navassa¬†Island, Palmyra¬†Atoll, and Wake¬†Island",,UM,UMI
171,2013,,Martin Karplus,1930,,"Harvard University,University of Strasbourg","""for the development of multiscale models for complex chemical systems""",UNITED STATES MINOR OUTLYING ISLANDS (THE),"Baker¬†Island, Howland¬†Island, Jarvis¬†Island, Johnston¬†Atoll, Kingman¬†Reef, Midway¬†Atoll, Navassa¬†Island, Palmyra¬†Atoll, and Wake¬†Island",,UM,UMI
172,2013,,Michael Levitt,1947,,Stanford University School of Medicine,"""for the development of multiscale models for complex chemical systems""",UNITED STATES MINOR OUTLYING ISLANDS (THE),"Baker¬†Island, Howland¬†Island, Jarvis¬†Island, Johnston¬†Atoll, Kingman¬†Reef, Midway¬†Atoll, Navassa¬†Island, Palmyra¬†Atoll, and Wake¬†Island",,UM,UMI
173,2013,,Arieh Warshel,1940,,University of Southern California,"""for the development of multiscale models for complex chemical systems""",UNITED STATES MINOR OUTLYING ISLANDS (THE),"Baker¬†Island, Howland¬†Island, Jarvis¬†Island, Johnston¬†Atoll, Kingman¬†Reef, Midway¬†Atoll, Navassa¬†Island, Palmyra¬†Atoll, and Wake¬†Island",,UM,UMI
174,2014,,Eric Betzig,1960,,Janelia Research Campus,"""for the development of super-resolved fluorescence microscopy""",UNITED STATES MINOR OUTLYING ISLANDS (THE),"Baker¬†Island, Howland¬†Island, Jarvis¬†Island, Johnston¬†Atoll, Kingman¬†Reef, Midway¬†Atoll, Navassa¬†Island, Palmyra¬†Atoll, and Wake¬†Island",,UM,UMI
175,2014,,Stefan W. Hell,1962,,"German Cancer Research Center,Max Planck Institute for Biophysical Chemistry","""for the development of super-resolved fluorescence microscopy""",Germany,,,,
176,2014,,William E. Moerner,1953,,Stanford University,"""for the development of super-resolved fluorescence microscopy""",UNITED STATES MINOR OUTLYING ISLANDS (THE),"Baker¬†Island, Howland¬†Island, Jarvis¬†Island, Johnston¬†Atoll, Kingman¬†Reef, Midway¬†Atoll, Navassa¬†Island, Palmyra¬†Atoll, and Wake¬†Island",,UM,UMI
177,2015,,Tomas Lindahl,1938,,"Clare Hall laboratories,Francis Crick Institute","""for mechanistic studies of DNA repair""",Sweden,,,,
178,2015,,Paul L. Modrich,1946,,"Duke University School of Medicine,Howard Hughes Medical Institute","""for mechanistic studies of DNA repair""",UNITED STATES MINOR OUTLYING ISLANDS (THE),"Baker¬†Island, Howland¬†Island, Jarvis¬†Island, Johnston¬†Atoll, Kingman¬†Reef, Midway¬†Atoll, Navassa¬†Island, Palmyra¬†Atoll, and Wake¬†Island",,UM,UMI
179,2015,,Aziz Sancar,1946,,University of North Carolina at Chapel Hill,"""for mechanistic studies of DNA repair""",UNITED STATES MINOR OUTLYING ISLANDS (THE),"Baker¬†Island, Howland¬†Island, Jarvis¬†Island, Johnston¬†Atoll, Kingman¬†Reef, Midway¬†Atoll, Navassa¬†Island, Palmyra¬†Atoll, and Wake¬†Island",,UM,UMI
180,2016,,Jean-Pierre Sauvage,1944,,University of Strasbourg,"""for the design and synthesis of molecular machines""",France,,,,
181,2016,,Fraser Stoddart,1942,,Northwestern University,"""for the design and synthesis of molecular machines""",UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (THE),The United Kingdom of Great Britain and Northern Ireland,.uk,GB,GBR
182,2016,,Ben Feringa,1951,,University of Groningen,"""for the design and synthesis of molecular machines""",Netherlands,,,,
183,2017,,Jacques Dubochet,1942,,University of Lausanne,"""for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution""",Switzerland,,,,
184,2017,,Joachim Frank,1940,,Columbia University,"""for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution""",Germany,,,,
185,2017,,Richard Henderson,1945,,MRC Laboratory of Molecular Biology,"""for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution""",UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (THE),The United Kingdom of Great Britain and Northern Ireland,.uk,GB,GBR
186,2018,,Frances Arnold,1956,,California Institute of Technology,"""for the directed evolution of enzymes""",UNITED STATES MINOR OUTLYING ISLANDS (THE),"Baker¬†Island, Howland¬†Island, Jarvis¬†Island, Johnston¬†Atoll, Kingman¬†Reef, Midway¬†Atoll, Navassa¬†Island, Palmyra¬†Atoll, and Wake¬†Island",,UM,UMI
187,2018,,George Smith,1941,,University of Missouri,"""for the phage display of peptides and antibodies""",UNITED STATES MINOR OUTLYING ISLANDS (THE),"Baker¬†Island, Howland¬†Island, Jarvis¬†Island, Johnston¬†Atoll, Kingman¬†Reef, Midway¬†Atoll, Navassa¬†Island, Palmyra¬†Atoll, and Wake¬†Island",,UM,UMI
188,2018,,Sir Gregory Winter,1951,,MRC Laboratory of Molecular Biology,"""for the phage display of peptides and antibodies""",UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (THE),The United Kingdom of Great Britain and Northern Ireland,.uk,GB,GBR
189,2019,,John B. Goodenough,1922,2023,University of Texas at Austin,"""for the development of lithium ion batteries""",UNITED STATES MINOR OUTLYING ISLANDS (THE),"Baker¬†Island, Howland¬†Island, Jarvis¬†Island, Johnston¬†Atoll, Kingman¬†Reef, Midway¬†Atoll, Navassa¬†Island, Palmyra¬†Atoll, and Wake¬†Island",,UM,UMI
190,2019,,M. Stanley Whittingham,1941,,Binghamton University,"""for the development of lithium ion batteries""",UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (THE),The United Kingdom of Great Britain and Northern Ireland,.uk,GB,GBR
191,2019,,Akira Yoshino,1948,,"Asahi Kasei,Meijo University","""for the development of lithium ion batteries""",Japan,,,,
192,2020,,Emmanuelle Charpentier,1968,,Max Planck Unit for the Science of Pathogens,"""for the development of a method for genome editing""",France,,,,
193,2020,,Jennifer Doudna,1964,,"University of California, Berkeley","""for the development of a method for genome editing""",UNITED STATES MINOR OUTLYING ISLANDS (THE),"Baker¬†Island, Howland¬†Island, Jarvis¬†Island, Johnston¬†Atoll, Kingman¬†Reef, Midway¬†Atoll, Navassa¬†Island, Palmyra¬†Atoll, and Wake¬†Island",,UM,UMI
194,2021,,Benjamin List,1968,,Max Planck Institute for Coal Research,"""for the development of asymmetric organocatalysis""",Germany,,,,
195,2021,,David W.C. MacMillan,1968,,Princeton University,"""for the development of asymmetric organocatalysis""",UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (THE),The United Kingdom of Great Britain and Northern Ireland,.uk,GB,GBR
196,2022,,Carolyn Bertozzi,1966,,"Howard Hughes Medical Institute,Stanford University","""for the development of click chemistry and bioorthogonal chemistry""",UNITED STATES MINOR OUTLYING ISLANDS (THE),"Baker¬†Island, Howland¬†Island, Jarvis¬†Island, Johnston¬†Atoll, Kingman¬†Reef, Midway¬†Atoll, Navassa¬†Island, Palmyra¬†Atoll, and Wake¬†Island",,UM,UMI
197,2022,,Morten Meldal,1954,,University of Copenhagen,"""for the development of click chemistry and bioorthogonal chemistry""",Denmark,,,,
198,2022,,K. Barry Sharpless,1941,,Scripps Research,"""for the development of click chemistry and bioorthogonal chemistry""",UNITED STATES MINOR OUTLYING ISLANDS (THE),"Baker¬†Island, Howland¬†Island, Jarvis¬†Island, Johnston¬†Atoll, Kingman¬†Reef, Midway¬†Atoll, Navassa¬†Island, Palmyra¬†Atoll, and Wake¬†Island",,UM,UMI
199,2023,,Moungi G. Bawendi,1961,,Massachusetts Institute of Technology,"""for the discovery and synthesis of quantum dots""",UNITED STATES MINOR OUTLYING ISLANDS (THE),"Baker¬†Island, Howland¬†Island, Jarvis¬†Island, Johnston¬†Atoll, Kingman¬†Reef, Midway¬†Atoll, Navassa¬†Island, Palmyra¬†Atoll, and Wake¬†Island",,UM,UMI
200,2023,,Louis E. Brus,1943,,Columbia University,"""for the discovery and synthesis of quantum dots""",UNITED STATES MINOR OUTLYING ISLANDS (THE),"Baker¬†Island, Howland¬†Island, Jarvis¬†Island, Johnston¬†Atoll, Kingman¬†Reef, Midway¬†Atoll, Navassa¬†Island, Palmyra¬†Atoll, and Wake¬†Island",,UM,UMI
201,2023,,Alexey Ekimov,1945,,,"""for the discovery and synthesis of quantum dots""",RUSSIAN FEDERATION (THE),The Russian Federation,.ru,RU,RUS
